participant_id,condition,session_mode,participant_group,baseline_recall,recruitment_wave,site,retained_7d
p_001675,retrieval_practice,remote,undergraduate,high,late,west,1
p_001676,retrieval_practice,lab,undergraduate,high,early,west,0
p_001677,retrieval_practice,lab,community,low,early,west,0
p_001678,retrieval_practice,remote,undergraduate,low,late,west,1
p_001679,retrieval_practice,lab,undergraduate,low,early,east,1
p_001680,retrieval_practice,remote,community,low,early,west,0
p_001681,rereading,remote,community,low,early,east,0
p_001682,retrieval_practice,lab,undergraduate,low,early,west,1
p_001683,rereading,lab,community,low,early,west,1
p_001684,retrieval_practice,remote,undergraduate,low,early,west,0
p_001685,retrieval_practice,lab,undergraduate,high,late,west,0
p_001686,retrieval_practice,lab,undergraduate,high,late,east,1
p_001687,rereading,lab,undergraduate,low,early,west,1
p_001688,retrieval_practice,lab,undergraduate,high,late,west,0
p_001689,retrieval_practice,remote,undergraduate,low,late,west,0
p_001690,rereading,lab,undergraduate,high,late,east,1
p_001691,rereading,remote,undergraduate,low,early,east,0
p_001692,retrieval_practice,remote,undergraduate,high,early,east,0
p_001693,retrieval_practice,lab,community,high,late,east,1
p_001694,rereading,lab,undergraduate,high,early,east,1
p_001695,retrieval_practice,remote,undergraduate,low,late,east,0
p_001696,retrieval_practice,lab,community,high,late,east,0
p_001697,rereading,remote,community,low,late,west,1
p_001698,rereading,lab,community,low,late,east,1
p_001699,retrieval_practice,remote,undergraduate,high,early,east,1
p_001700,rereading,remote,undergraduate,low,late,west,0
p_001701,retrieval_practice,remote,undergraduate,low,late,east,1
p_001702,retrieval_practice,remote,undergraduate,high,early,west,1
p_001703,retrieval_practice,lab,community,low,early,east,1
p_001704,retrieval_practice,lab,undergraduate,high,late,west,1
p_001705,rereading,lab,undergraduate,high,late,west,0
p_001706,retrieval_practice,remote,community,low,late,east,1
p_001707,retrieval_practice,remote,undergraduate,high,early,west,1
p_001708,retrieval_practice,remote,community,low,early,east,1
p_001709,retrieval_practice,lab,undergraduate,high,late,west,0
p_001710,rereading,remote,community,high,late,west,0
p_001711,rereading,lab,undergraduate,low,late,west,1
p_001712,rereading,lab,undergraduate,high,early,east,1
p_001713,rereading,remote,community,low,late,east,1
p_001714,retrieval_practice,lab,undergraduate,high,early,west,1
p_001715,rereading,lab,undergraduate,low,early,east,1
p_001716,retrieval_practice,lab,undergraduate,high,early,west,0
p_001717,rereading,lab,undergraduate,low,late,east,0
p_001718,retrieval_practice,lab,undergraduate,low,late,east,0
p_001719,rereading,lab,undergraduate,low,early,west,1
p_001720,rereading,lab,undergraduate,low,early,west,1
p_001721,rereading,lab,undergraduate,high,late,east,0
p_001722,retrieval_practice,remote,undergraduate,low,early,east,0
p_001723,retrieval_practice,remote,undergraduate,high,late,west,1
p_001724,retrieval_practice,lab,undergraduate,high,late,east,1
p_001725,rereading,lab,undergraduate,high,early,west,1
p_001726,rereading,lab,undergraduate,low,early,east,1
p_001727,rereading,lab,community,low,late,east,1
p_001728,rereading,remote,undergraduate,high,late,east,1
p_001729,rereading,lab,undergraduate,low,late,east,1
p_001730,retrieval_practice,remote,community,high,early,east,1
p_001731,rereading,lab,undergraduate,high,late,east,0
p_001732,rereading,remote,undergraduate,high,late,west,1
p_001733,rereading,remote,undergraduate,high,late,west,0
p_001734,rereading,lab,undergraduate,high,late,east,0
p_001735,retrieval_practice,lab,undergraduate,high,late,west,1
p_001736,retrieval_practice,lab,community,high,early,west,0
p_001737,rereading,remote,community,low,late,west,1
p_001738,rereading,remote,community,high,early,west,0
p_001739,retrieval_practice,lab,undergraduate,low,late,east,0
p_001740,rereading,remote,community,low,late,east,0
p_001741,retrieval_practice,remote,undergraduate,high,early,west,0
p_001742,rereading,remote,community,low,early,west,1
p_001743,rereading,lab,community,low,early,east,0
p_001744,rereading,remote,undergraduate,high,early,east,1
p_001745,retrieval_practice,lab,community,high,late,east,1
p_001746,retrieval_practice,remote,undergraduate,high,late,west,1
p_001747,retrieval_practice,lab,undergraduate,high,early,east,0
p_001748,rereading,remote,community,high,early,east,0
p_001749,retrieval_practice,remote,undergraduate,low,late,west,1
p_001750,retrieval_practice,lab,community,low,early,east,0
p_001751,rereading,lab,undergraduate,low,early,east,0
p_001752,retrieval_practice,remote,community,low,early,east,0
p_001753,retrieval_practice,remote,undergraduate,high,late,west,1
p_001754,rereading,lab,undergraduate,low,late,east,1
p_001755,rereading,lab,community,high,early,west,1
p_001756,rereading,remote,undergraduate,low,early,west,0
p_001757,retrieval_practice,remote,undergraduate,high,early,west,1
p_001758,rereading,lab,community,low,late,east,1
p_001759,retrieval_practice,lab,undergraduate,low,late,east,0
p_001760,rereading,lab,community,low,early,west,0
p_001761,retrieval_practice,lab,undergraduate,low,late,west,0
p_001762,rereading,remote,community,low,late,west,0
p_001763,retrieval_practice,lab,undergraduate,high,late,east,0
p_001764,rereading,remote,undergraduate,high,late,east,1
p_001765,rereading,lab,community,low,early,east,1
p_001766,retrieval_practice,lab,community,high,early,west,1
p_001767,retrieval_practice,remote,community,high,late,east,0
p_001768,rereading,lab,community,high,early,west,1
p_001769,retrieval_practice,lab,community,low,late,east,1
p_001770,retrieval_practice,remote,undergraduate,low,late,west,1
p_001771,rereading,lab,undergraduate,high,late,west,0
p_001772,rereading,remote,community,low,early,west,0
p_001773,rereading,lab,community,low,late,east,1
p_001774,retrieval_practice,lab,community,low,late,east,1
p_001775,rereading,lab,undergraduate,low,early,west,0
p_001776,retrieval_practice,lab,undergraduate,low,late,east,1
p_001777,rereading,remote,undergraduate,low,late,east,0
p_001778,retrieval_practice,lab,undergraduate,high,late,east,1
p_001779,rereading,remote,undergraduate,high,late,west,1
p_001780,rereading,lab,undergraduate,high,early,west,0
p_001781,rereading,remote,community,high,late,east,1
p_001782,rereading,remote,undergraduate,low,early,west,1
p_001783,rereading,remote,undergraduate,low,early,east,0
p_001784,rereading,lab,undergraduate,high,late,east,1
p_001785,rereading,remote,undergraduate,high,late,east,0
p_001786,rereading,lab,undergraduate,low,late,west,1
p_001787,rereading,lab,community,low,early,east,1
p_001788,retrieval_practice,remote,community,high,early,west,0
p_001789,retrieval_practice,lab,undergraduate,low,late,west,0
p_001790,retrieval_practice,lab,undergraduate,low,early,east,1
p_001791,rereading,lab,community,high,late,west,0
p_001792,retrieval_practice,lab,community,high,late,west,1
p_001793,retrieval_practice,remote,undergraduate,high,late,east,0
p_001794,rereading,remote,community,high,early,west,1
p_001795,retrieval_practice,lab,community,high,late,west,0
p_001796,rereading,lab,community,low,late,west,1
p_001797,retrieval_practice,lab,community,low,late,east,0
p_001798,rereading,remote,community,high,late,west,1
p_001799,retrieval_practice,lab,community,low,early,west,0
p_001800,rereading,lab,undergraduate,high,early,west,0
p_001801,rereading,remote,undergraduate,high,late,west,1
p_001802,rereading,lab,community,high,early,east,0
p_001803,rereading,lab,undergraduate,low,early,east,1
p_001804,rereading,remote,community,low,early,east,1
p_001805,retrieval_practice,remote,community,high,late,east,0
p_001806,retrieval_practice,lab,undergraduate,high,early,west,1
p_001807,rereading,lab,undergraduate,high,early,east,1
p_001808,retrieval_practice,remote,community,low,late,west,0
p_001809,retrieval_practice,lab,community,high,early,east,0
p_001810,retrieval_practice,lab,undergraduate,high,late,west,0
p_001811,rereading,lab,community,high,early,east,0
p_001812,rereading,remote,community,low,early,west,0
p_001813,retrieval_practice,remote,community,low,late,east,0
p_001814,rereading,lab,community,high,early,west,1
p_001815,retrieval_practice,remote,undergraduate,high,early,east,0
p_001816,retrieval_practice,lab,undergraduate,low,early,west,0
p_001817,rereading,remote,undergraduate,high,late,west,1
p_001818,retrieval_practice,lab,community,high,early,west,0
p_001819,retrieval_practice,lab,undergraduate,low,late,west,0
p_001820,retrieval_practice,lab,undergraduate,high,early,east,0
p_001821,rereading,lab,undergraduate,low,early,west,1
p_001822,retrieval_practice,lab,community,low,early,east,1
p_001823,rereading,lab,community,high,late,east,0
p_001824,rereading,remote,community,low,early,west,0
p_001825,retrieval_practice,lab,community,high,late,east,1
p_001826,retrieval_practice,remote,undergraduate,high,late,west,0
p_001827,rereading,remote,community,high,early,west,0
p_001828,retrieval_practice,lab,undergraduate,low,late,west,0
p_001829,rereading,remote,undergraduate,high,late,west,0
p_001830,retrieval_practice,lab,community,low,late,west,0
p_001831,retrieval_practice,lab,undergraduate,low,early,east,1
p_001832,retrieval_practice,lab,community,low,early,east,1
p_001833,retrieval_practice,lab,community,high,late,east,1
p_001834,rereading,lab,undergraduate,high,late,west,1
p_001835,rereading,lab,undergraduate,low,late,west,1
p_001836,retrieval_practice,lab,community,low,late,west,0
p_001837,rereading,lab,undergraduate,low,late,east,0
p_001838,retrieval_practice,remote,undergraduate,high,early,west,0
p_001839,rereading,lab,undergraduate,low,early,west,0
p_001840,rereading,lab,undergraduate,high,early,east,0
p_001841,rereading,lab,undergraduate,low,late,west,0
p_001842,retrieval_practice,lab,undergraduate,low,early,east,0
p_001843,rereading,lab,undergraduate,low,late,west,1
p_001844,retrieval_practice,lab,undergraduate,low,late,east,1
p_001845,rereading,lab,community,high,early,east,1
p_001846,rereading,lab,undergraduate,low,late,west,1
p_001847,retrieval_practice,lab,undergraduate,low,late,east,0
p_001848,rereading,lab,community,high,early,west,0
p_001849,retrieval_practice,remote,undergraduate,low,early,west,0
p_001850,retrieval_practice,remote,community,low,early,east,1
p_001851,rereading,remote,undergraduate,high,late,west,0
p_001852,retrieval_practice,remote,undergraduate,low,late,west,0
p_001853,rereading,lab,community,high,late,west,1
p_001854,retrieval_practice,remote,undergraduate,high,early,east,1
p_001855,retrieval_practice,remote,undergraduate,low,early,east,0
p_001856,retrieval_practice,lab,undergraduate,low,late,west,0
p_001857,retrieval_practice,remote,community,low,early,west,0
p_001858,rereading,remote,undergraduate,high,late,west,0
p_001859,retrieval_practice,remote,undergraduate,high,early,west,1
p_001860,rereading,lab,undergraduate,high,late,west,0
p_001861,rereading,lab,community,low,early,east,1
p_001862,retrieval_practice,remote,undergraduate,low,late,west,0
p_001863,rereading,lab,undergraduate,high,early,west,0
p_001864,retrieval_practice,lab,undergraduate,low,early,east,0
p_001865,retrieval_practice,remote,community,low,late,west,0
p_001866,rereading,lab,community,low,early,east,1
p_001867,retrieval_practice,lab,community,low,early,west,1
p_001868,retrieval_practice,lab,community,low,early,east,1
p_001869,rereading,remote,undergraduate,low,late,west,0
p_001870,retrieval_practice,lab,undergraduate,low,late,west,0
p_001871,rereading,lab,undergraduate,low,early,east,1
p_001872,rereading,lab,community,low,late,west,0
p_001873,retrieval_practice,remote,undergraduate,low,late,east,1
p_001874,rereading,remote,community,low,late,west,0
p_001875,rereading,remote,undergraduate,high,early,east,0
p_001876,retrieval_practice,lab,undergraduate,high,early,east,0
p_001877,rereading,lab,undergraduate,high,late,west,0
p_001878,rereading,lab,undergraduate,high,late,west,1
p_001879,rereading,lab,undergraduate,low,late,east,1
p_001880,retrieval_practice,lab,undergraduate,high,late,west,0
p_001881,retrieval_practice,lab,community,low,late,east,1
p_001882,rereading,lab,community,low,early,west,0
p_001883,retrieval_practice,lab,undergraduate,high,early,east,1
p_001884,retrieval_practice,remote,undergraduate,high,late,west,1
p_001885,retrieval_practice,lab,community,low,early,east,0
p_001886,rereading,remote,undergraduate,high,early,east,0
p_001887,rereading,lab,community,high,early,east,1
p_001888,rereading,lab,community,high,late,west,1
p_001889,retrieval_practice,remote,undergraduate,high,late,east,0
p_001890,rereading,lab,community,high,early,east,1
p_001891,retrieval_practice,lab,undergraduate,high,early,west,1
p_001892,rereading,lab,undergraduate,high,late,east,0
p_001893,rereading,lab,community,low,late,west,1
p_001894,rereading,lab,community,high,early,east,0
p_001895,rereading,lab,community,low,early,west,1
p_001896,rereading,remote,community,low,early,west,1
p_001897,rereading,lab,community,low,early,east,0
p_001898,retrieval_practice,lab,community,high,early,east,1
p_001899,rereading,remote,community,low,late,west,1
p_001900,retrieval_practice,remote,community,high,early,east,1
p_001901,retrieval_practice,lab,undergraduate,low,early,west,1
p_001902,rereading,lab,undergraduate,high,early,east,0
p_001903,rereading,lab,undergraduate,low,late,east,0
p_001904,retrieval_practice,remote,undergraduate,low,early,east,0
p_001905,retrieval_practice,remote,undergraduate,high,early,east,0
p_001906,rereading,lab,undergraduate,low,early,west,1
p_001907,rereading,lab,undergraduate,low,early,east,0
p_001908,retrieval_practice,remote,undergraduate,low,early,east,1
p_001909,retrieval_practice,lab,community,low,late,west,0
p_001910,rereading,lab,undergraduate,high,early,west,0
p_001911,rereading,lab,undergraduate,low,early,west,0
p_001912,rereading,lab,community,high,early,east,1
p_001913,rereading,lab,undergraduate,high,late,east,1
p_001914,rereading,lab,undergraduate,high,early,west,1
p_001915,rereading,lab,undergraduate,low,late,east,1
p_001916,rereading,lab,community,high,late,east,1
p_001917,rereading,lab,undergraduate,low,late,east,1
p_001918,rereading,lab,undergraduate,high,late,east,1
p_001919,rereading,lab,community,high,late,west,1
p_001920,retrieval_practice,lab,community,high,late,east,0
p_001921,retrieval_practice,lab,community,low,early,west,1
p_001922,retrieval_practice,lab,community,low,late,west,0
p_001923,rereading,lab,undergraduate,low,late,east,0
p_001924,retrieval_practice,lab,undergraduate,low,early,east,0
p_001925,retrieval_practice,lab,undergraduate,low,late,east,1
p_001926,retrieval_practice,lab,undergraduate,high,late,east,1
p_001927,retrieval_practice,lab,undergraduate,low,late,east,1
p_001928,retrieval_practice,lab,community,low,late,west,1
p_001929,retrieval_practice,remote,undergraduate,low,early,west,0
p_001930,retrieval_practice,remote,undergraduate,low,late,east,0
p_001931,rereading,lab,community,high,late,west,1
p_001932,retrieval_practice,remote,community,low,early,west,0
p_001933,retrieval_practice,lab,community,low,early,east,1
p_001934,rereading,lab,undergraduate,low,early,west,0
p_001935,rereading,lab,undergraduate,low,early,west,1
p_001936,rereading,lab,undergraduate,low,early,west,1
p_001937,retrieval_practice,lab,undergraduate,high,late,east,1
p_001938,retrieval_practice,lab,community,high,early,east,1
p_001939,rereading,lab,undergraduate,high,early,west,1
p_001940,retrieval_practice,lab,undergraduate,low,early,east,0
p_001941,rereading,remote,community,low,late,east,0
p_001942,rereading,remote,undergraduate,high,late,west,1
p_001943,rereading,remote,community,low,late,west,0
p_001944,retrieval_practice,remote,undergraduate,high,early,west,1
p_001945,rereading,lab,community,low,late,west,0
p_001946,retrieval_practice,lab,undergraduate,low,early,east,0
p_001947,rereading,lab,undergraduate,high,late,west,1
p_001948,retrieval_practice,lab,community,low,late,east,0
p_001949,rereading,remote,undergraduate,high,early,west,0
p_001950,retrieval_practice,lab,undergraduate,high,early,west,0
p_001951,retrieval_practice,remote,community,low,late,west,0
p_001952,rereading,lab,community,low,late,west,1
p_001953,retrieval_practice,remote,community,high,early,east,0
p_001954,rereading,lab,community,low,late,west,0
p_001955,retrieval_practice,lab,community,high,late,east,1
p_001956,rereading,lab,undergraduate,high,late,west,0
p_001957,retrieval_practice,lab,community,low,late,east,0
p_001958,retrieval_practice,lab,community,high,late,east,0
p_001959,retrieval_practice,lab,undergraduate,high,late,east,0
p_001960,rereading,lab,undergraduate,high,late,west,1
p_001961,rereading,lab,undergraduate,high,early,west,1
p_001962,retrieval_practice,lab,community,low,late,east,0
p_001963,rereading,lab,undergraduate,low,late,east,0
p_001964,rereading,remote,community,high,early,east,0
p_001965,rereading,lab,undergraduate,low,early,east,0
p_001966,retrieval_practice,lab,community,low,late,west,1
p_001967,rereading,lab,undergraduate,high,early,west,1
p_001968,retrieval_practice,remote,undergraduate,high,late,west,1
p_001969,retrieval_practice,remote,community,low,late,west,1
p_001970,rereading,lab,community,high,early,east,1
p_001971,rereading,remote,undergraduate,high,early,west,0
p_001972,rereading,remote,community,low,late,west,0
p_001973,retrieval_practice,remote,community,high,late,east,1
p_001974,rereading,remote,undergraduate,high,late,east,0
p_001975,rereading,lab,undergraduate,high,late,west,1
p_001976,retrieval_practice,lab,undergraduate,low,early,east,0
p_001977,rereading,lab,undergraduate,low,early,west,0
p_001978,rereading,remote,undergraduate,high,early,east,0
p_001979,retrieval_practice,remote,community,high,early,east,0
p_001980,rereading,lab,community,low,late,east,1
p_001981,rereading,lab,community,high,early,west,1
p_001982,retrieval_practice,lab,community,high,early,east,1
p_001983,retrieval_practice,lab,undergraduate,high,late,east,0
p_001984,retrieval_practice,lab,undergraduate,low,late,west,1
p_001985,rereading,lab,community,high,early,west,1
p_001986,retrieval_practice,remote,undergraduate,low,late,west,1
p_001987,retrieval_practice,lab,undergraduate,low,late,east,1
p_001988,rereading,lab,community,high,late,east,0
p_001989,rereading,lab,undergraduate,low,early,west,1
p_001990,retrieval_practice,remote,community,high,late,west,0
p_001991,retrieval_practice,remote,community,high,late,east,0
p_001992,rereading,lab,undergraduate,low,early,west,0
p_001993,rereading,lab,undergraduate,high,early,east,0
p_001994,rereading,remote,undergraduate,high,early,west,1
p_001995,retrieval_practice,lab,community,high,late,east,0
p_001996,retrieval_practice,lab,undergraduate,low,early,west,0
p_001997,rereading,lab,community,high,early,east,1
p_001998,rereading,lab,community,low,early,east,0
p_001999,retrieval_practice,lab,undergraduate,low,late,east,0
p_002000,retrieval_practice,remote,community,low,late,west,0
p_002001,rereading,lab,undergraduate,low,early,east,0
p_002002,retrieval_practice,lab,community,low,late,east,0
p_002003,rereading,remote,community,high,early,west,1
p_002004,retrieval_practice,remote,undergraduate,high,early,east,1
p_002005,rereading,lab,community,high,early,west,1
p_002006,rereading,remote,undergraduate,high,early,east,0
p_002007,rereading,remote,undergraduate,high,early,east,0
p_002008,retrieval_practice,remote,undergraduate,high,late,west,1
p_002009,rereading,lab,community,low,early,west,0
p_002010,retrieval_practice,lab,undergraduate,low,early,west,1
p_002011,rereading,remote,undergraduate,low,late,east,1
p_002012,retrieval_practice,remote,community,high,late,west,1
p_002013,retrieval_practice,lab,community,low,late,west,1
p_002014,retrieval_practice,remote,community,high,late,east,0
p_002015,retrieval_practice,lab,undergraduate,high,late,east,0
p_002016,retrieval_practice,remote,community,high,early,west,0
p_002017,rereading,lab,undergraduate,low,late,west,1
p_002018,rereading,lab,undergraduate,high,early,east,1
p_002019,rereading,remote,community,high,early,east,0
p_002020,rereading,lab,undergraduate,low,late,west,0
p_002021,rereading,lab,undergraduate,high,early,east,0
p_002022,rereading,lab,undergraduate,high,early,west,0
p_002023,retrieval_practice,remote,undergraduate,low,late,west,0
p_002024,rereading,remote,undergraduate,low,late,east,0
p_002025,retrieval_practice,lab,undergraduate,low,late,west,1
p_002026,retrieval_practice,lab,undergraduate,low,early,west,0
p_002027,rereading,lab,undergraduate,high,early,west,1
p_002028,rereading,lab,undergraduate,low,late,west,0
p_002029,rereading,lab,undergraduate,high,early,west,0
p_002030,rereading,lab,undergraduate,low,late,west,0
p_002031,retrieval_practice,lab,undergraduate,high,early,east,0
p_002032,retrieval_practice,lab,community,high,late,west,1
p_002033,retrieval_practice,lab,undergraduate,low,early,west,1
p_002034,retrieval_practice,remote,undergraduate,low,early,west,1
p_002035,retrieval_practice,remote,undergraduate,high,early,east,1
p_002036,retrieval_practice,lab,undergraduate,low,late,west,0
p_002037,rereading,lab,undergraduate,low,late,west,1
p_002038,retrieval_practice,lab,community,high,late,west,1
p_002039,retrieval_practice,lab,community,high,late,east,1
p_002040,retrieval_practice,lab,community,low,early,west,1
p_002041,rereading,lab,community,low,early,east,0
p_002042,rereading,remote,community,high,late,west,1
p_002043,retrieval_practice,remote,community,low,late,west,0
p_002044,retrieval_practice,lab,undergraduate,low,early,east,1
p_002045,rereading,lab,community,high,late,west,0
p_002046,rereading,remote,undergraduate,high,late,east,1
p_002047,retrieval_practice,remote,community,high,early,west,0
p_002048,retrieval_practice,lab,undergraduate,high,early,east,0
p_002049,rereading,lab,undergraduate,high,late,west,1
p_002050,retrieval_practice,remote,undergraduate,low,early,west,0
p_002051,retrieval_practice,lab,undergraduate,high,early,east,1
p_002052,retrieval_practice,lab,community,low,early,east,1
p_002053,rereading,remote,undergraduate,high,early,east,0
p_002054,retrieval_practice,lab,undergraduate,high,early,east,0
p_002055,rereading,remote,undergraduate,high,late,east,0
p_002056,rereading,lab,community,high,early,west,1
p_002057,retrieval_practice,remote,community,low,late,east,1
p_002058,rereading,remote,undergraduate,high,early,west,0
p_002059,rereading,lab,undergraduate,high,late,west,0
