amount,merchant_category,hour,days_since_last_txn,txn_count_24h,avg_amount_30d,foreign,card_not_present,label
11.50,4,0,1.9,2,24.78,0,0,0
109.60,7,19,0.4,1,110.58,0,1,0
249.99,1,5,0.5,1,120.19,0,0,1
68.39,1,10,1.1,3,52.27,0,0,0
117.99,1,16,3.4,3,39.33,0,1,0
63.50,8,12,1.6,3,128.36,0,1,0
141.61,5,14,0.2,2,68.59,0,0,0
94.84,7,12,10.3,3,64.26,0,1,0
25.50,0,13,1.9,5,65.72,0,1,0
65.00,1,14,3.0,2,100.49,0,0,0
51.67,5,10,1.8,1,24.23,0,1,0
11.07,3,18,2.9,2,23.36,0,0,0
357.73,3,11,2.5,3,96.20,0,0,0
12.99,0,21,4.0,2,57.29,0,1,0
735.83,10,20,1.7,5,157.92,0,0,0
82.14,0,10,1.1,2,36.38,0,1,0
14.00,4,10,0.4,2,31.99,0,0,0
37.00,5,6,0.1,3,37.41,0,0,0
259.85,4,3,0.1,2,117.78,0,0,0
78.36,2,20,0.9,4,149.96,0,0,0
170.99,0,8,0.1,3,75.14,0,1,0
77.65,6,17,0.7,1,97.97,0,0,0
44.35,2,8,6.8,1,95.49,0,0,0
31.99,6,15,4.0,1,34.11,0,0,0
17.64,0,19,0.6,4,30.90,0,0,0
12.48,2,14,0.8,3,23.61,0,0,0
23.00,0,15,1.7,1,51.59,0,0,0
29.94,5,20,1.8,4,133.19,0,0,0
60.23,2,4,0.6,2,18.31,0,1,1
144.51,1,6,3.8,3,64.63,1,0,0
28.43,9,19,1.1,4,52.13,1,1,1
32.43,4,13,4.5,2,26.04,0,0,0
215.70,10,16,2.2,3,174.01,0,0,0
38.62,1,12,1.0,6,18.53,0,0,0
53.00,9,0,0.3,1,63.52,0,0,0
53.35,1,18,0.3,4,112.92,1,0,0
237.44,11,20,1.2,2,87.93,0,0,0
2.93,6,12,0.3,5,19.66,0,1,0
22.65,0,19,1.9,3,24.31,0,0,0
178.14,5,23,0.5,1,165.02,1,0,0
5.67,10,7,0.9,2,24.72,0,0,0
22.60,6,22,1.4,3,39.21,0,0,0
63.75,0,18,1.3,2,60.53,0,1,0
13.95,3,9,0.9,4,74.25,0,0,0
19.23,6,22,6.5,2,39.09,1,1,0
12.00,11,22,1.5,5,63.93,0,0,0
10.81,2,19,2.4,2,19.22,0,1,0
16.00,1,7,7.6,5,62.55,0,0,0
77.27,8,12,1.5,2,99.58,0,0,0
137.18,0,6,1.2,1,72.09,0,0,0
46.23,11,14,0.1,2,50.48,0,0,0
235.50,7,0,3.2,4,72.57,0,1,1
36.99,1,9,0.4,5,29.98,0,1,0
193.15,6,2,5.9,1,101.78,0,0,0
18.95,7,12,0.7,1,17.39,0,0,0
63.75,4,9,8.5,3,51.62,0,1,0
55.99,4,9,2.3,3,36.70,1,0,0
25.95,5,17,0.7,5,57.17,0,0,0
52.64,1,10,0.1,2,52.75,0,0,0
28.00,6,18,1.8,1,32.56,0,0,0
57.00,9,13,3.4,2,256.07,0,1,0
113.13,8,13,0.1,3,47.29,0,1,0
20.46,8,11,0.7,2,44.31,1,0,0
13.22,6,19,0.2,4,73.12,1,1,0
40.35,8,21,0.6,2,52.39,0,1,0
11.63,10,17,0.0,4,29.83,1,1,0
11.53,7,9,4.6,2,59.19,0,1,0
200.00,9,10,1.8,3,84.99,0,1,0
41.99,0,15,0.7,2,27.33,0,0,0
88.31,3,16,4.9,1,91.74,0,0,0
39.99,4,12,0.5,1,62.37,0,0,0
87.00,8,16,0.3,2,106.63,0,0,0
24.99,1,16,0.2,2,50.95,0,0,0
49.51,0,10,1.1,2,19.61,0,0,0
86.78,6,18,6.4,2,88.95,0,0,0
19.39,8,10,2.8,2,35.48,0,1,0
165.46,2,7,1.2,2,87.75,0,0,0
456.95,6,3,1.4,3,71.11,0,1,1
9.57,2,19,5.0,3,33.38,0,1,0
93.00,8,10,1.5,1,70.57,0,0,0
11.61,6,18,0.3,1,88.03,0,0,0
13.99,0,19,2.3,4,47.85,0,0,0
27.62,5,21,3.4,3,33.00,0,1,0
44.64,8,8,2.0,1,27.73,0,0,0
47.08,0,14,0.4,2,46.27,0,1,0
18.37,0,15,2.9,3,101.41,0,0,0
72.43,2,2,1.8,4,76.67,0,0,0
103.20,2,10,1.3,3,115.36,0,1,0
67.53,2,10,0.2,3,36.83,0,0,0
20.61,7,18,5.8,2,34.47,0,0,0
147.31,6,23,4.7,2,44.19,0,0,0
242.99,1,18,0.7,2,46.60,0,0,0
15.38,6,9,0.2,2,34.39,0,1,0
216.93,7,0,2.1,3,96.28,1,0,1
113.06,9,21,0.4,1,94.05,0,0,0
39.16,2,13,1.7,3,71.68,0,1,0
785.00,7,13,0.8,3,204.74,0,0,0
61.44,4,18,0.1,3,36.41,0,0,0
76.99,1,4,0.8,1,53.90,1,1,1
64.95,10,14,6.4,2,,0,0,0
57.47,4,20,3.4,4,56.78,0,1,0
16.13,4,10,3.8,2,5.43,0,0,0
49.50,8,23,0.7,4,79.63,0,0,0
47.79,9,15,0.1,2,69.31,0,0,0
76.69,6,11,9.8,2,73.50,0,0,0
85.00,2,20,0.4,2,79.38,0,0,0
9.99,0,15,1.8,3,11.05,0,0,0
144.26,7,13,1.8,2,75.89,0,0,0
4.32,5,0,7.0,5,22.32,0,1,0
9.67,5,22,2.5,1,26.42,1,0,0
11.00,1,21,1.0,3,41.60,0,0,0
203.00,2,2,0.4,3,47.30,0,0,1
34.97,2,15,1.4,3,24.27,0,0,0
133.86,4,0,1.3,2,76.15,0,0,0
53.95,4,20,3.6,1,32.16,0,0,0
52.06,2,11,2.6,2,77.74,0,0,0
169.29,6,10,0.8,4,123.42,0,0,0
108.57,0,0,0.1,3,68.49,0,0,1
40.98,8,19,1.1,3,55.61,0,0,0
67.00,7,1,1.5,5,47.98,0,1,1
541.90,5,21,1.0,2,107.97,0,0,0
36.91,0,9,2.1,4,47.84,0,1,0
157.00,8,21,1.1,3,58.49,0,0,0
64.73,11,13,4.7,3,100.65,0,1,0
18.00,0,17,1.6,1,22.42,0,1,0
132.99,0,9,2.1,4,79.83,0,1,0
20.46,10,17,3.8,1,36.83,0,0,0
18.10,6,12,0.0,6,34.66,0,0,0
253.99,1,12,2.3,2,179.25,0,0,0
70.95,8,13,3.7,5,30.14,0,0,0
85.93,11,21,0.8,2,33.50,1,1,1
90.99,6,16,1.8,2,23.78,0,0,0
79.12,2,11,1.2,4,127.75,0,0,0
114.43,2,3,2.2,3,48.28,0,1,0
90.99,8,11,1.2,3,59.11,0,1,0
45.50,3,12,1.8,1,89.09,0,0,0
995.19,0,15,3.9,4,222.29,0,0,0
30.09,0,13,0.0,3,39.67,0,0,0
54.82,2,11,0.7,1,47.68,0,0,0
80.50,10,17,2.9,3,32.19,0,1,1
407.00,11,19,3.7,1,125.92,0,1,1
93.78,4,6,2.7,3,79.36,0,0,0
53.14,2,13,5.9,1,32.29,0,0,0
30.00,0,17,0.8,1,25.00,0,0,0
42.99,3,16,0.8,3,86.70,0,0,0
20.78,8,12,4.8,3,22.79,1,0,0
13.50,10,13,2.9,2,47.44,0,1,0
357.78,6,18,0.8,3,156.86,0,0,0
100.00,4,4,1.8,4,83.39,0,1,0
17.14,9,22,8.7,5,19.49,0,0,0
28.26,1,13,4.0,2,103.38,0,1,0
145.00,0,14,0.1,2,160.95,0,0,0
54.51,3,10,11.0,4,127.44,0,1,0
59.48,11,1,0.5,1,115.97,1,0,0
208.00,2,14,0.1,2,90.03,1,1,1
40.65,4,11,4.2,2,27.94,0,1,0
205.70,11,3,1.1,5,152.55,1,1,1
52.71,1,13,2.0,4,35.95,0,0,0
23.00,6,7,3.9,5,51.65,0,0,1
36.00,11,13,1.1,5,65.17,0,0,0
69.04,1,19,0.5,2,66.14,0,0,0
39.99,0,12,6.9,1,106.87,0,0,0
86.99,6,15,4.5,2,61.12,1,0,0
15.00,11,13,0.9,1,22.19,0,0,0
60.26,1,18,7.4,2,33.06,0,0,0
20.82,5,10,1.4,2,83.16,0,0,0
118.00,7,19,4.1,2,24.96,0,1,0
14.04,0,10,2.0,3,41.11,1,1,0
18.99,10,10,4.3,3,35.22,0,1,0
60.00,3,5,2.0,2,72.08,0,0,0
30.10,7,9,1.1,3,22.65,0,1,0
484.00,6,18,2.9,1,103.05,0,0,0
74.21,9,19,0.5,2,73.57,0,1,0
79.57,6,11,0.7,3,,0,1,0
28.31,0,16,7.2,1,56.77,0,0,0
36.00,3,8,1.4,1,33.42,0,0,0
22.99,2,22,2.5,2,66.24,0,1,0
4.12,0,17,2.3,2,7.14,0,0,0
26.99,5,19,7.7,3,50.61,0,0,0
22.40,0,15,6.1,2,41.40,0,1,0
146.31,7,15,1.9,3,56.97,0,0,1
34.03,6,17,0.3,5,16.70,0,1,0
51.56,1,19,0.7,1,52.70,0,1,0
54.64,1,14,6.3,3,55.45,0,0,0
10.30,6,21,2.7,2,22.88,0,0,0
66.31,0,18,2.1,5,59.33,0,0,0
110.42,0,5,2.1,6,43.10,0,1,1
603.83,5,11,2.4,3,206.66,0,0,0
19.73,4,13,2.7,3,33.71,0,0,0
48.00,7,4,1.5,3,63.60,0,0,0
51.80,5,17,1.7,2,95.89,0,0,0
37.44,3,6,4.0,6,49.00,0,1,0
87.99,11,7,14.1,2,54.16,0,0,0
9.49,4,21,1.2,3,34.66,0,0,0
283.28,0,9,1.8,2,115.61,0,0,0
40.99,1,20,4.7,3,27.03,0,0,0
72.99,5,9,2.5,3,45.76,0,0,0
232.00,7,21,1.1,4,47.18,0,0,1
32.19,0,14,2.9,2,105.62,0,1,0
68.50,4,19,2.4,1,81.03,0,0,0
433.00,1,22,2.8,1,41.86,0,0,0
24.05,1,19,1.9,1,27.46,0,1,0
23.00,6,17,1.3,2,53.25,0,0,0
258.00,3,16,2.3,4,222.19,1,0,0
30.00,5,13,0.3,3,79.13,0,1,0
17.99,1,20,1.1,2,53.35,0,1,0
42.55,3,8,2.9,2,34.19,0,1,0
13.08,0,9,2.9,2,51.75,0,0,0
61.00,8,17,10.1,3,42.62,0,1,0
17.00,4,22,1.9,3,,0,1,0
21.12,2,9,1.8,2,14.63,0,0,0
103.00,2,11,0.6,3,36.71,0,0,0
953.95,4,22,0.4,2,257.86,0,1,0
98.99,2,15,0.8,5,77.46,0,1,0
19.26,9,15,0.5,2,44.16,0,1,0
79.68,3,7,4.5,4,78.49,0,0,0
39.16,4,16,6.5,3,62.09,0,1,0
14.97,4,22,3.9,4,50.74,0,1,0
67.07,11,8,2.3,1,47.06,0,0,0
23.00,6,14,2.7,4,21.85,0,0,0
15.51,7,10,0.0,4,26.49,0,0,0
16.95,2,13,0.6,2,45.18,0,1,0
3.58,3,18,4.2,3,27.78,0,0,0
99.79,4,15,4.4,1,138.93,0,0,0
59.00,5,20,0.6,2,92.21,0,1,0
9.99,7,10,4.0,5,27.70,0,0,0
112.99,0,11,2.8,3,73.00,0,0,0
3.74,2,8,2.4,3,24.28,0,0,0
27.50,1,18,3.5,3,59.07,1,1,0
30.02,0,3,0.5,2,62.34,0,1,0
17.99,1,10,2.9,3,17.43,0,0,0
97.63,3,12,2.5,5,45.49,0,0,0
14.06,1,14,2.6,4,46.96,0,0,0
21.08,2,22,0.2,3,25.53,1,1,1
27.29,0,20,2.6,5,50.60,0,1,0
37.99,8,10,2.7,4,18.61,0,0,0
391.37,11,7,1.5,8,257.50,0,0,0
19.00,0,13,2.6,2,45.88,1,1,0
74.04,7,17,1.5,4,201.25,0,0,0
59.04,0,16,0.1,2,53.61,0,0,0
122.71,6,18,1.0,8,139.72,0,0,0
76.99,6,23,1.8,1,106.09,0,1,0
25.77,9,10,1.4,4,101.80,0,0,0
36.00,4,17,0.5,1,25.53,0,1,0
85.25,5,6,0.6,5,121.32,0,1,0
114.47,2,20,2.3,5,26.44,0,0,0
25.61,5,10,1.1,2,33.41,0,1,0
7.00,4,7,1.0,2,16.02,0,1,0
24.74,1,12,1.7,1,52.85,0,1,0
141.35,1,15,0.7,3,82.74,0,1,0
77.95,8,4,5.8,5,73.75,0,0,0
63.99,4,21,0.7,1,24.75,0,1,0
94.00,2,17,4.2,4,118.63,0,0,0
27.87,0,20,0.2,1,54.73,0,0,0
34.43,6,10,2.0,2,,0,0,0
20.60,5,17,2.1,3,31.49,0,1,0
757.33,4,17,8.6,4,110.69,0,0,1
120.50,6,19,2.0,1,68.85,0,1,0
74.48,9,21,0.0,5,38.62,0,0,0
14.37,8,16,3.9,2,33.29,0,0,0
9.95,7,9,1.2,2,14.76,0,0,0
4.94,1,11,0.8,1,20.44,0,1,0
23.86,2,17,0.1,3,16.38,0,0,0
44.55,10,17,0.1,1,54.31,0,0,0
37.98,4,17,1.7,1,41.90,0,1,1
50.56,9,6,0.7,2,64.28,0,0,0
285.20,1,15,0.2,3,67.54,0,0,0
54.28,4,14,2.9,3,116.68,0,0,0
111.99,2,11,3.6,2,272.94,0,1,0
134.95,5,22,0.7,2,59.78,0,0,0
86.72,9,15,1.5,3,139.10,0,0,0
17.46,0,12,6.0,3,60.22,0,1,0
50.59,8,19,1.8,3,74.47,0,0,0
89.48,0,12,1.3,1,37.84,0,0,0
400.69,3,11,6.0,2,148.37,0,0,0
193.99,1,7,0.7,2,61.41,0,0,0
21.59,10,7,3.0,2,14.49,0,0,0
74.50,6,23,2.9,3,89.27,0,1,0
43.00,2,13,1.2,2,30.99,0,0,0
7.30,4,18,3.6,7,56.64,0,0,0
29.89,3,11,0.4,4,30.53,0,0,0
104.26,5,20,0.2,2,74.23,0,0,0
42.00,11,16,3.8,2,58.39,0,0,0
207.99,6,9,3.6,3,53.08,0,0,0
46.89,2,2,3.5,2,71.01,0,0,0
81.99,2,17,0.6,2,104.96,0,0,0
91.95,2,9,1.8,1,52.94,0,0,0
20.33,4,0,3.4,2,9.77,0,0,0
291.36,7,15,2.4,2,99.10,0,1,0
44.99,1,0,0.5,2,16.97,0,0,0
100.20,2,15,1.6,2,97.62,0,1,1
360.51,0,6,1.9,1,134.51,0,0,0
137.06,7,0,2.1,4,114.09,0,0,0
50.50,9,22,2.1,4,53.28,0,0,0
196.43,0,9,2.8,2,73.54,0,1,0
84.49,6,15,2.0,1,71.44,0,1,0
48.12,6,19,2.3,6,28.36,1,0,0
92.00,5,10,0.2,2,37.46,0,1,1
49.00,3,12,1.1,3,63.83,0,1,0
49.37,4,10,3.7,4,71.89,1,0,0
15.99,7,12,0.7,2,38.61,0,0,0
24.95,0,9,0.7,6,39.33,0,1,0
204.88,6,8,0.2,1,79.35,0,1,0
11.95,0,9,0.1,3,62.06,0,1,0
108.99,11,13,0.8,6,81.91,0,0,0
31.99,2,10,4.5,1,46.49,0,0,0
52.00,1,12,0.2,2,79.46,0,1,0
38.98,7,18,0.6,2,53.06,0,0,0
22.99,6,15,0.0,5,25.96,1,1,1
94.34,2,13,2.1,4,34.10,0,0,0
43.50,2,15,0.5,2,55.61,0,0,0
35.50,2,14,5.9,2,43.22,0,1,0
106.02,3,18,1.4,5,65.16,1,0,0
68.90,1,15,0.1,4,37.13,0,0,0
100.84,10,13,1.8,1,82.27,0,1,0
89.65,8,12,8.1,1,174.84,0,1,0
27.91,0,0,0.1,3,50.94,0,1,0
198.99,2,18,2.4,2,192.50,0,0,0
132.53,2,12,0.1,4,44.09,0,0,0
21.11,4,16,0.3,3,64.04,0,0,0
173.95,3,0,3.0,4,59.45,0,0,0
72.99,1,18,2.5,1,69.66,0,0,0
93.00,11,19,1.7,2,80.49,0,0,0
44.00,0,8,1.7,5,67.85,0,0,0
60.50,1,10,2.0,1,67.89,0,0,0
296.50,0,20,1.5,3,136.07,0,1,0
28.80,6,15,0.7,1,38.34,0,0,0
101.95,11,7,1.3,2,67.60,0,0,0
10.50,7,15,0.2,2,60.46,0,1,0
52.00,6,18,0.0,1,35.48,0,0,0
25.14,1,10,1.1,3,23.87,0,0,0
36.50,11,9,0.2,2,95.11,0,0,0
117.79,2,21,4.6,2,86.63,0,1,0
126.99,4,20,1.8,4,80.99,1,0,0
252.77,11,8,1.1,1,98.28,1,0,1
12.96,3,4,0.4,3,35.60,0,0,0
94.50,5,21,0.9,1,76.76,0,0,0
49.43,0,15,1.1,2,85.12,0,1,0
15.00,5,19,0.6,4,43.74,0,1,1
78.90,2,9,0.1,2,18.55,0,0,0
74.66,4,17,4.7,1,62.02,0,0,0
114.61,3,9,0.0,3,64.79,0,0,0
86.00,9,19,0.6,3,41.19,0,1,0
123.50,5,13,1.1,4,74.95,0,1,0
271.95,9,19,0.9,2,109.30,0,1,1
28.99,3,13,1.4,4,40.58,0,0,0
77.71,2,19,0.9,4,214.42,0,1,0
15.98,3,16,0.7,3,26.93,1,1,1
100.27,9,8,5.6,4,54.72,0,1,0
51.16,1,17,0.3,1,26.47,0,0,0
35.51,5,8,7.9,4,51.60,0,1,0
35.31,5,21,0.8,2,61.28,0,1,0
89.02,0,8,2.3,4,28.11,0,0,0
203.91,6,18,1.8,2,99.79,0,0,0
31.38,11,17,5.4,3,62.33,0,0,0
42.00,6,23,6.3,1,73.98,0,0,0
481.10,2,13,0.8,1,81.10,0,0,1
288.87,9,16,0.3,4,124.34,0,0,0
27.95,0,16,1.5,3,24.86,0,0,0
92.53,4,19,6.1,7,42.77,0,0,0
48.00,11,13,6.6,3,78.78,0,0,0
62.18,7,15,1.9,4,66.03,0,0,0
181.18,2,15,2.6,5,87.54,0,0,0
170.29,3,17,9.6,7,56.53,0,0,0
54.00,3,20,2.7,3,26.93,0,0,0
31.28,6,11,3.4,1,44.66,0,1,0
271.99,4,15,5.2,3,108.60,0,0,0
450.06,10,11,0.9,3,92.86,0,1,1
243.33,1,18,0.3,1,326.47,0,0,0
136.00,1,17,0.9,4,93.42,0,0,0
47.19,6,14,0.4,1,56.74,0,0,0
41.46,0,18,0.0,2,59.10,0,0,0
42.96,0,17,1.2,1,36.03,0,1,0
62.66,0,9,2.2,2,45.77,0,1,0
376.99,0,22,0.0,3,78.34,0,0,1
59.42,6,16,1.5,2,49.34,1,1,0
43.65,3,21,3.4,4,19.54,0,1,0
105.99,4,18,3.0,2,58.70,0,0,0
13.50,4,12,3.9,4,49.98,1,0,0
91.99,6,13,2.2,4,122.53,0,1,0
183.91,6,14,0.7,1,90.67,0,0,0
660.16,2,13,0.1,3,188.16,0,1,1
162.96,1,9,0.1,2,128.25,0,1,0
36.19,5,13,0.5,4,55.77,0,0,0
67.99,1,13,5.1,5,42.45,0,1,0
71.87,4,15,4.6,3,223.49,1,1,0
106.50,3,21,0.1,3,45.33,0,0,0
514.71,4,8,2.8,1,197.34,0,0,0
27.18,9,17,3.6,3,35.27,0,0,0
70.26,0,17,1.0,2,98.64,0,0,0
64.99,6,13,0.8,3,29.42,0,0,0
27.57,0,1,4.5,2,71.80,1,0,0
25.86,9,6,0.5,1,,0,1,0
22.00,8,18,3.1,3,83.63,0,1,0
36.99,5,13,1.8,2,17.80,0,0,0
743.00,5,12,0.3,1,58.48,0,1,1
13.62,4,13,1.9,3,27.50,0,1,0
205.23,11,19,3.0,2,120.01,0,0,0
25.07,7,13,1.5,4,35.78,0,0,0
28.26,6,19,4.9,4,39.99,0,1,0
12.93,1,2,1.9,3,24.48,0,0,0
65.59,8,12,0.6,3,55.40,0,1,0
5.50,11,19,0.5,1,23.90,0,0,0
249.73,1,8,1.8,4,196.23,0,0,0
96.02,0,12,2.0,3,45.14,0,0,0
46.01,11,10,1.1,2,63.18,0,0,0
75.79,10,12,4.1,3,125.27,0,0,0
122.71,11,10,3.8,3,159.50,0,0,0
36.00,0,17,2.9,3,45.02,0,0,0
10.72,4,10,7.4,1,25.02,0,0,0
216.24,4,12,0.1,5,67.42,0,0,1
24.99,3,11,2.3,1,39.58,0,1,0
115.50,0,21,1.0,2,59.47,0,1,0
10.87,7,19,0.2,3,36.03,0,0,0
63.44,4,15,2.6,3,181.71,0,1,0
279.08,1,14,1.0,3,46.32,0,1,1
25.58,5,10,0.3,2,32.31,0,0,0
21.62,9,8,2.3,2,46.83,0,0,0
58.97,4,18,2.0,2,63.76,1,1,1
52.84,11,5,0.5,3,57.62,0,1,0
128.95,3,9,17.2,2,56.67,0,0,0
28.89,8,10,5.0,1,25.27,0,0,0
46.58,0,15,2.3,1,19.84,0,0,0
20.70,7,16,2.2,2,55.96,0,0,0
71.99,5,11,3.1,1,22.71,0,0,0
129.00,1,10,0.6,4,113.80,0,1,0
83.33,2,13,0.3,2,92.52,0,0,0
83.33,2,13,0.3,2,92.52,0,0,0
119.00,0,11,0.6,1,105.20,0,0,0
46.00,0,13,0.0,4,47.88,0,0,0
16.00,6,16,0.7,4,22.78,1,0,0
38.99,8,15,1.6,4,50.40,0,1,0
90.61,11,9,0.2,2,48.18,0,0,0
108.85,3,10,2.0,3,117.56,0,0,0
59.99,2,10,1.3,5,48.73,0,1,0
